이름,상태,카테고리
회전하는 캘리퍼스 (Rotating Calipers),공부 중,기하학
구간 트리 (Segment Tree),공부 예정,세그먼트 트리
너비 우선 탐색 (BFS),공부 완료,그래프 탐색
깊이 우선 탐색 (DFS),공부 완료,그래프 탐색
다익스트라 (Dijkstra’s),공부 완료,그래프 이론
플로이드-워셜 (Floyd-Warshall),공부 완료,그래프 이론
벨만-포드 (Bellman-Ford),공부 완료,그래프 이론
분리 집합 (Disjoint Set),공부 완료,자료 구조
"크루스칼 (Kruscal’s, MST)",공부 완료,그래프 이론
"프림 (Prim’s, MST)",공부 예정,그래프 이론
두 포인터 (Two Pointer),공부 완료,두 포인터
스택 (Stack),공부 완료,자료 구조
큐 (Queue),공부 완료,자료 구조
덱 (Deque),공부 완료,자료 구조
유클리드 호제법 (Euclidean Algorithm),공부 완료,정수론
에라토스테네스의 체 (Sieve of Eratosthenes),공부 완료,정수론
밀러-라빈 소수 판별법 (Miller-Rabin),공부 완료,정수론
"단절점, 단절선 (Articulation Points, Bridges)",공부 예정,그래프 이론
트리의 지름 (Diameter of Tree),공부 예정,그래프 탐색
최소 공통 조상 (LCA),공부 예정,
CCW,공부 완료,기하학
선분 교차 판정 (Line Segment Intersection Check),공부 완료,기하학
다각형의 넓이 (Area of a Polygon),공부 완료,기하학
볼록 다각형 내부의 점 판정 (Point in Convex Polygon Check),공부 중,기하학
폴라드 로 (Pollard’s Rho),공부 완료,정수론
오프라인 쿼리 (Offline Queries),공부 완료,오프라인 쿼리
픽의 정리 (Pick’s Theorem),공부 완료,기하학
볼록 껍질 (Convex Hull),공부 완료,기하학
다이나믹 프로그래밍 (DP),공부 완료,DP
오일러 피 함수 (Euler’s Phi Function),공부 완료,정수론
